symbol,name,price,exchange
9666.HK,JINKE SERVICES,62.5,
PVT.V,PIVOTREE INC,13.19,
OZON,CYCLOPSS CORP,43.81,
NGS.AX,NGSLTD FPO,0.27,
OTRAU,OTR Acquisition Corp.,10.55,
JUPW,"Jupiter Wellness, Inc.",4.8201,
CONXU,CONX Corp.,10.56,
0005.HK,HSBC HOLDINGS,40.45,
0001.HK,CKH HOLDINGS,55.65,
1795.HK,YADONG GROUP,0.79,
BHSEU,Bull Horn Holdings Corp.,11.38,
6900.HK,SUNKWAN PPT,2.33,
UNI.AX,Universal Store Hldg Ltd,5.51,
2599.HK,SHINSUN HOLD GP,5.5,
6996.HK,ANTENGENE-B,17.32,
1516.HK,SUNAC SERVICES,16.86,
BWACU,BETTER WORLD ACQUISITION CORP.,11.07,
HXL.AX,Hexima Ltd,0.18,
HFEN,HF Enterprises Inc.,6.08,
MZH.SI,Nanofilm,4.74,
LSF,"Laird Superfood, Inc.",44.44,ASE
KKO.AX,Kinetiko Energy Ltd,0.15,ASX
IKW.AX,Ikwezi Mining Ltd,0.004,ASX
IMA.AX,Image Resources NL,0.185,ASX
IBX.AX,Imagion Biosystems Ltd,0.14,ASX
IMD.AX,Imdex Ltd,1.7,ASX
IME.AX,ImExHS Ltd,1.73,ASX
IMC.AX,Immuron Ltd,0.215,ASX
IMM.AX,Immutep Ltd,0.415,ASX
IPT.AX,Impact Minerals Ltd,0.019,ASX
IPD.AX,ImpediMed Ltd,0.12,ASX
IMS.AX,Impelus Ltd,0.005,ASX
IPC.AX,Imperial Pacific Ltd,1.05,ASX
IMR.AX,Imricor Medical Systems Inc,2.3,ASX
AIA.AX,Auckland International Airport Ltd,7.11,ASX
IMU.AX,Imugene Ltd,0.1,ASX
ILU.AX,Iluka Resources Ltd,6.59,ASX
IKE.AX,Ikegps Group Ltd,1.0,ASX
IGO.AX,IGO Ltd,6.72,ASX
IGN.AX,Ignite Ltd,0.041,ASX
HPI.AX,Hotel Property Investments Ltd,3.24,ASX
HCH.AX,Hot Chili Ltd,0.042,ASX
HOR.AX,Horseshoe Metals Ltd,0.012,ASX
HZN.AX,Horizon Oil Ltd,0.062,ASX
HRZ.AX,Horizon Minerals Ltd,0.115,ASX
HRN.AX,Horizon Gold Ltd,0.5,ASX
HSC.AX,Homestay Care Ltd,0.017,ASX
HMC.AX,Home Consortium Ltd,3.96,ASX
HCT.AX,Holista CollTech Ltd,0.072,ASX
HIT.AX,Hitech Group Australia Ltd,1.91,ASX
HIP.AX,Hipo Resources Ltd,0.017,ASX
HIL.AX,Hills Ltd,0.165,ASX
HGO.AX,Hillgrove Resources Ltd,0.033,ASX
HFR.AX,Highfield Resources Ltd,0.655,ASX
HPR.AX,High Peak Royalties Ltd,0.08,ASX
HWH.AX,Houston We Have Ltd,0.044,ASX
ICG.AX,Inca Minerals Ltd,0.058,ASX
HRL.AX,HRL Holdings Ltd,0.135,ASX
HUB.AX,Hub24 Ltd,21.73,ASX
IDT.AX,IDT Australia Ltd,0.187,ASX
IEL.AX,IDP Education Ltd,20.63,ASX
ID8.AX,Identitii Ltd,0.16,ASX
ICS.AX,ICSGlobal Ltd,2.06,ASX
ICN.AX,Icon Energy Ltd,0.018,ASX
ICT.AX,iCollege Ltd,0.096,ASX
ICE.AX,Icetana Ltd,0.16,ASX
ICQ.AX,Icar Asia Ltd,0.37,ASX
ICI.AX,iCandy Interactive Ltd,0.135,ASX
IS3.AX,I Synergy Group Ltd,0.065,ASX
HCD.AX,Hydrocarbon Dynamics Ltd,0.026,ASX
HYD.AX,Hydrix Ltd,0.255,ASX
HTA.AX,Hutchison Telecommunications (Australia) Ltd,0.145,ASX
HUO.AX,Huon Aquaculture Group Ltd,2.72,ASX
HGL.AX,Hudson Investment Group Ltd,0.305,ASX
HT1.AX,HT&E Ltd,1.85,ASX
IHL.AX,Incannex Healthcare Ltd,0.15,ASX
ING.AX,Inghams Group Ltd,3.18,ASX
IPL.AX,Incitec Pivot Ltd,2.28,ASX
IOD.AX,Iodm Ltd,0.16,ASX
INR.AX,Ioneer Ltd,0.275,ASX
IXR.AX,Ionic Rare Earths Ltd,0.017,ASX
IFL.AX,IOOF Holdings Ltd,3.55,ASX
IPB.AX,IPB Petroleum Ltd,0.04,ASX
IPH.AX,IPH Ltd,6.57,ASX
IQ3.AX,iQ3Corp Ltd,0.3,ASX
IRE.AX,Iress Ltd,10.72,ASX
ATU.AX,Atrum Coal Ltd,0.28,ASX
